"date" "deaths" "julian" "gov" "nhs"
"1" "02/03/2020" 1 62 1 1
"2" "03/03/2020" 2 63 0 2
"3" "04/03/2020" 0 64 1 0
"4" "05/03/2020" 2 65 2 2
"5" "06/03/2020" 2 66 2 2
"6" "07/03/2020" 0 67 0 0
"7" "08/03/2020" 4 68 2 4
"8" "09/03/2020" 4 69 5 4
"9" "10/03/2020" 1 70 3 1
"10" "11/03/2020" 9 71 7 9
"11" "12/03/2020" 14 72 11 14
"12" "13/03/2020" 20 73 16 20
"13" "14/03/2020" 22 74 19 22
"14" "15/03/2020" 27 75 28 27
"15" "16/03/2020" 40 76 44 40
"16" "17/03/2020" 46 77 54 46
"17" "18/03/2020" 66 78 66 66
"18" "19/03/2020" 63 79 71 63
"19" "20/03/2020" 105 80 109 105
"20" "21/03/2020" 104 81 126 104
"21" "22/03/2020" 149 82 172 149
"22" "23/03/2020" 159 83 188 159
"23" "24/03/2020" 204 84 237 204
"24" "25/03/2020" 263 85 299 263
"25" "26/03/2020" 326 86 370 326
"26" "27/03/2020" 353 87 416 353
"27" "28/03/2020" 360 88 449 360
"28" "29/03/2020" 437 89 531 437
"29" "30/03/2020" 499 90 631 499
"30" "31/03/2020" 576 91 741 576
"31" "01/04/2020" 645 92 826 645
"32" "02/04/2020" 646 93 892 646
"33" "03/04/2020" 702 94 927 702
"34" "04/04/2020" 778 95 1023 778
"35" "05/04/2020" 743 96 1063 743
"36" "06/04/2020" 728 97 1025 728
"37" "07/04/2020" 813 98 1145 813
"38" "08/04/2020" 901 99 1286 901
"39" "09/04/2020" 793 100 1177 793
"40" "10/04/2020" 740 101 1163 740
"41" "11/04/2020" 781 102 1203 781
"42" "12/04/2020" 718 103 1208 718
"43" "13/04/2020" 701 104 1076 701
"44" "14/04/2020" 646 105 1080 646
"45" "15/04/2020" 686 106 1100 686
"46" "16/04/2020" 639 107 1147 639
"47" "17/04/2020" 610 108 1107 610
"48" "18/04/2020" 571 109 1030 571
"49" "19/04/2020" 524 110 967 524
"50" "20/04/2020" 566 111 992 566
"51" "21/04/2020" 487 112 916 487
"52" "22/04/2020" 502 113 939 502
"53" "23/04/2020" 451 114 893 451
"54" "24/04/2020" 438 115 874 438
"55" "25/04/2020" 386 116 771 386
"56" "26/04/2020" 380 117 763 380
"57" "27/04/2020" 345 118 724 345
"58" "28/04/2020" 341 119 701 341
"59" "29/04/2020" 325 120 699 325
"60" "30/04/2020" 313 121 660 313
"61" "01/05/2020" 307 122 661 307
"62" "02/05/2020" 268 123 590 268
"63" "03/05/2020" 252 124 556 252
"64" "04/05/2020" 259 125 562 259
"65" "05/05/2020" 253 126 537 253
"66" "06/05/2020" 268 127 524 268
"67" "07/05/2020" 256 128 535 256
"68" "08/05/2020" 215 129 482 215
"69" "09/05/2020" 203 130 463 203
"70" "10/05/2020" 196 131 423 196
"71" "11/05/2020" 166 132 355 166
"72" "12/05/2020" 183 133 380 183
"73" "13/05/2020" 162 134 373 162
"74" "14/05/2020" 180 135 373 180
"75" "15/05/2020" 172 136 359 172
"76" "16/05/2020" 167 137 351 167
"77" "17/05/2020" 138 138 316 138
"78" "18/05/2020" 161 139 344 161
"79" "19/05/2020" 144 140 316 144
"80" "20/05/2020" 153 141 303 153
"81" "21/05/2020" 150 142 286 150
"82" "22/05/2020" 122 143 256 122
"83" "23/05/2020" 128 144 255 128
"84" "24/05/2020" 116 145 234 116
"85" "25/05/2020" 133 146 240 133
"86" "26/05/2020" 139 147 260 139
"87" "27/05/2020" 122 148 233 122
"88" "28/05/2020" 125 149 241 125
"89" "29/05/2020" 117 150 216 117
"90" "30/05/2020" 92 151 188 92
"91" "31/05/2020" 83 152 175 83
"92" "01/06/2020" 94 153 179 94
"93" "02/06/2020" 109 154 204 109
"94" "03/06/2020" 111 155 179 111
"95" "04/06/2020" 83 156 163 83
"96" "05/06/2020" 86 157 160 86
"97" "06/06/2020" 83 158 129 83
"98" "07/06/2020" 80 159 137 80
"99" "08/06/2020" 73 160 142 73
"100" "09/06/2020" 69 161 127 69
"101" "10/06/2020" 78 162 142 78
"102" "11/06/2020" 49 163 108 49
"103" "12/06/2020" 52 164 122 52
"104" "13/06/2020" 43 165 85 43
"105" "14/06/2020" 58 166 119 58
"106" "15/06/2020" 56 167 92 56
"107" "16/06/2020" 62 168 103 62
"108" "17/06/2020" 51 169 91 51
"109" "18/06/2020" 50 170 79 50
"110" "19/06/2020" 42 171 76 42
"111" "20/06/2020" 45 172 76 45
"112" "21/06/2020" 36 173 67 36
"113" "22/06/2020" 43 174 74 43
"114" "23/06/2020" 53 175 89 53
"115" "24/06/2020" 54 176 93 54
"116" "25/06/2020" 47 177 97 47
"117" "26/06/2020" 38 178 70 38
"118" "27/06/2020" 32 179 61 32
"119" "28/06/2020" 37 180 62 37
"120" "29/06/2020" 29 181 63 29
"121" "30/06/2020" 31 182 71 31
"122" "01/07/2020" 18 183 44 18
"123" "02/07/2020" 36 184 55 36
"124" "03/07/2020" 20 185 45 20
"125" "04/07/2020" 22 186 46 22
"126" "05/07/2020" 25 187 44 25
"127" "06/07/2020" 24 188 48 24
"128" "07/07/2020" 23 189 41 23
"129" "08/07/2020" 21 190 44 21
"130" "09/07/2020" 38 191 56 38
"131" "10/07/2020" 16 192 42 16
"132" "11/07/2020" 13 193 33 13
"133" "12/07/2020" 16 194 29 16
"134" "13/07/2020" 23 195 42 23
"135" "14/07/2020" 13 196 38 13
"136" "15/07/2020" 21 197 39 21
"137" "16/07/2020" 10 198 18 10
"138" "17/07/2020" 10 199 31 10
"139" "18/07/2020" 17 200 28 17
"140" "19/07/2020" 11 201 22 11
"141" "20/07/2020" 11 202 29 11
"142" "21/07/2020" 10 203 30 10
"143" "22/07/2020" 15 204 34 15
"144" "23/07/2020" 15 205 33 15
"145" "24/07/2020" 5 206 17 5
"146" "25/07/2020" 12 207 20 12
"147" "26/07/2020" 12 208 28 12
"148" "27/07/2020" 9 209 16 9
"149" "28/07/2020" 9 210 20 9
"150" "29/07/2020" 6 211 21 6
"151" "30/07/2020" 8 212 14 8
"152" "31/07/2020" 5 213 26 5
"153" "01/08/2020" 7 214 16 7
"154" "02/08/2020" 11 215 15 11
"155" "03/08/2020" 11 216 19 11
"156" "04/08/2020" 8 217 20 8
"157" "05/08/2020" 5 218 7 5
"158" "06/08/2020" 9 219 17 9
"159" "07/08/2020" 6 220 19 6
"160" "08/08/2020" 8 221 18 8
"161" "09/08/2020" 6 222 18 6
"162" "10/08/2020" 8 223 23 8
"163" "11/08/2020" 11 224 20 11
"164" "12/08/2020" 4 225 20 4
"165" "13/08/2020" 4 226 18 4
"166" "14/08/2020" 5 227 15 5
"167" "15/08/2020" 11 228 21 11
"168" "16/08/2020" 3 229 12 3
"169" "17/08/2020" 10 230 19 10
"170" "18/08/2020" 8 231 11 8
"171" "19/08/2020" 3 232 10 3
"172" "20/08/2020" 3 233 16 3
"173" "21/08/2020" 6 234 9 6
"174" "22/08/2020" 5 235 11 5
"175" "23/08/2020" 10 236 16 10
"176" "24/08/2020" 5 237 8 5
"177" "25/08/2020" 10 238 19 10
"178" "26/08/2020" 10 239 15 10
"179" "27/08/2020" 7 240 11 7
"180" "28/08/2020" 5 241 11 5
"181" "29/08/2020" 2 242 8 2
"182" "30/08/2020" 4 243 8 4
"183" "31/08/2020" 7 244 16 7
"184" "01/09/2020" 4 245 9 4
"185" "02/09/2020" 9 246 13 9
"186" "03/09/2020" 4 247 6 4
"187" "04/09/2020" 6 248 14 6
"188" "05/09/2020" 8 249 12 8
"189" "06/09/2020" 7 250 13 7
"190" "07/09/2020" 9 251 20 9
"191" "08/09/2020" 11 252 15 11
"192" "09/09/2020" 7 253 10 7
"193" "10/09/2020" 9 254 15 9
"194" "11/09/2020" 8 255 15 8
"195" "12/09/2020" 8 256 21 8
"196" "13/09/2020" 14 257 18 14
"197" "14/09/2020" 11 258 17 11
"198" "15/09/2020" 12 259 22 12
"199" "16/09/2020" 16 260 25 16
"200" "17/09/2020" 20 261 34 20
"201" "18/09/2020" 19 262 25 19
"202" "19/09/2020" 11 263 22 11
"203" "20/09/2020" 24 264 34 24
"204" "21/09/2020" 17 265 26 17
"205" "22/09/2020" 27 266 32 27
"206" "23/09/2020" 37 267 52 37
"207" "24/09/2020" 25 268 33 25
"208" "25/09/2020" 22 269 35 22
"209" "26/09/2020" 30 270 43 30
"210" "27/09/2020" 34 271 49 34
"211" "28/09/2020" 38 272 47 38
"212" "29/09/2020" 35 273 42 35
"213" "30/09/2020" 41 274 53 41
"214" "01/10/2020" 43 275 56 43
"215" "02/10/2020" 48 276 69 48
"216" "03/10/2020" 38 277 56 38
"217" "04/10/2020" 38 278 55 38
"218" "05/10/2020" 40 279 54 40
"219" "06/10/2020" 50 280 69 50
"220" "07/10/2020" 58 281 88 58
"221" "08/10/2020" 57 282 80 57
"222" "09/10/2020" 51 283 82 51
"223" "10/10/2020" 61 284 87 61
"224" "11/10/2020" 76 285 106 76
"225" "12/10/2020" 72 286 94 72
"226" "13/10/2020" 70 287 94 70
"227" "14/10/2020" 82 288 104 82
"228" "15/10/2020" 91 289 124 91
"229" "16/10/2020" 91 290 125 91
"230" "17/10/2020" 130 291 168 130
"231" "18/10/2020" 91 292 124 91
"232" "19/10/2020" 116 293 155 116
"233" "20/10/2020" 134 294 177 134
"234" "21/10/2020" 146 295 196 146
"235" "22/10/2020" 146 296 186 146
"236" "23/10/2020" 146 297 183 146
"237" "24/10/2020" 139 298 174 139
"238" "25/10/2020" 162 299 207 162
"239" "26/10/2020" 172 300 218 172
"240" "27/10/2020" 168 301 226 168
"241" "28/10/2020" 179 302 228 179
"242" "29/10/2020" 209 303 253 209
"243" "30/10/2020" 207 304 284 207
"244" "31/10/2020" 214 305 277 214
"245" "01/11/2020" 222 306 283 222
"246" "02/11/2020" 223 307 279 223
"247" "03/11/2020" 209 308 304 209
"248" "04/11/2020" 235 309 283 235
"249" "05/11/2020" 218 310 300 218
"250" "06/11/2020" 234 311 339 234
"251" "07/11/2020" 272 312 348 272
"252" "08/11/2020" 257 313 347 257
"253" "09/11/2020" 311 314 404 311
"254" "10/11/2020" 267 315 329 267
"255" "11/11/2020" 241 316 317 241
"256" "12/11/2020" 272 317 357 272
"257" "13/11/2020" 264 318 352 264
"258" "14/11/2020" 272 319 367 272
"259" "15/11/2020" 298 320 375 298
"260" "16/11/2020" 277 321 362 277
"261" "17/11/2020" 293 322 378 293
"262" "18/11/2020" 330 323 444 330
"263" "19/11/2020" 295 324 407 295
"264" "20/11/2020" 302 325 407 302
"265" "21/11/2020" 268 326 413 268
"266" "22/11/2020" 320 327 420 320
"267" "23/11/2020" 298 328 429 298
"268" "24/11/2020" 312 329 423 312
"269" "25/11/2020" 325 330 436 325
"270" "26/11/2020" 284 331 380 284
"271" "27/11/2020" 286 332 387 286
"272" "28/11/2020" 313 333 389 313
"273" "29/11/2020" 313 334 423 313
"274" "30/11/2020" 269 335 385 269
"275" "01/12/2020" 273 336 359 273
"276" "02/12/2020" 267 337 348 267
"277" "03/12/2020" 301 338 410 301
"278" "04/12/2020" 296 339 420 296
"279" "05/12/2020" 262 340 345 262
"280" "06/12/2020" 277 341 363 277
"281" "07/12/2020" 257 342 379 257
